model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,val_loss_min,epoch_best_val_loss,val_acc_best,epoch_best_val_acc
CNN-10 (PL9 CNN1D),0.9027968821641449,0.6234617767183412,0.8976687992812594,0.6390465021006626,0.6158404215786393,0.24292585253715515,10,0.904172420501709,9
CNN-10.1 (CNN1D + SoftCW),0.8830811554332875,0.6230020082192176,0.8878024464145463,0.6073229652053318,0.6474554287726909,0.27461573481559753,8,0.8927097916603088,17
CNN-11.1 (CNN1D + Aug + SoftCW),0.8927097661623109,0.6224136941635423,0.8976451331043083,0.5973463321013147,0.6579557859999126,0.26458871364593506,21,0.8940852880477905,19
